Instrument ID,Symbol,Company Name,Type,Status,Enabled,Exchange,Sector,Industry,ISIN,CUSIP,Changed Time,Borrow Req Type,Buy Routing,Corp Suspend Keys,Enabled Time,Etb List,Feed Bucket,Fplp CA Halted,Inverse,Leveraged,Limit Buy,Limit Sell,Locate Location,Locate Required,Margin Open Percentage,Meta Comment,Oats Reportable,Ref Link,Sedol,Sell Routing,Settlement Terms,Short Sale Status,Short Sell Mode,Short Sell Updated Time,Statement Template,Symbol FPLP State,Tick Size Group,Ustk Restricted,Version,Sponsor,Previous Closing,Issued Inst ID,Filtering Words,Old Symbol,Issued Symbol
"1","A","Agilent Technologies Inc.","ETF","HALTED(CORP-ACT)","true","NYSE","HealthTechnology","Biotechnology","US00846U1016","00846U101","07/02/2021 9:30 AM","SLD_AND_EXB","None","[COST-S-DIV-95892-1-574723-254509, PAY-N-CONSD-398349-1-6619167-1701093]","0","ETC","1","false","NO","1","0","0","ETC","false","0","123","true","Test","2520153","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714158086","Industrial","FPLP_ELIGIBLE","NONE","false","224","","","","","",""
"2","AA","Alcoa Corp","EQS","HALTED(TICK)","true","NYSE","NonEnergyMinerals","Aluminum","US0138721065","013872106","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","ETC","2","false","NO","1","0","0","ETC","false","0","Dividend file test","false","","BYNF418","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714158127","Industrial","FPLP_ELIGIBLE","G3","false","24","","","","","",""
"3","AAC","AAC Holdings Inc","EQS","HALTED(CORP-ACT)","false","NYSE","HealthServices","Medical/Nursing Services","US0003071083","000307108","07/07/2021 6:24 AM","SLD_AND_EXB","None","[PAY-S-BON-MA_20170713_1024_9-1-602655-264935]","0","ETC","3","false","NO","1","0","0","ETC","false","0","l","false","","BQZJBY4","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1623922234341","Industrial","FPLP_ELIGIBLE","C","false","1076","","","","","",""
"4","AAL","American Airlines Group Inc","EQS","ACTIVE","true","NASDAQ","Transportation","Airlines","US02376R1023","02376R102","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","ETC","4","false","NO","1","0","0","ETC","false","0","","false","","BCV7KT2","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1615300558608","Industrial","FPLP_ELIGIBLE","NONE","false","46","","","","","",""
"5","AAME","Atlantic American Corp.","","HALTED(CORP-ACT)","true","NASDAQ","Finance","Multi-Line Insurance","US0482091008","048209100","07/07/2021 6:24 AM","SLD_AND_EXB","None","[COST-S-DIV-95896-1-574723-254509, PAY-N-CONSD-398345-1-6619167-1701093]","0","NONE","5","false","NO","1","0.0","0.0","VELC","true","0.0","KK","false","","2061168","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1612780235602","Insurance","FPLP_ELIGIBLE","G2","false","1062","","","","","",""
"6","PRG","PROG Holdings Inc","EQS","ACTIVE","false","NYSE","Finance","Finance/Rental/Leasing","US0025353006","002535300","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","ETC","6","false","NO","1","0.0","0.0","ETC","false","0.0","SYSMBOL","false","","2002918","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1607077832858","Industrial","FPLP_ELIGIBLE","C","false","128","","","","","",""
"7","AAOI","Applied Optoelectronics Inc","ETF","ACTIVE","true","NASDAQ","ElectronicTechnology","Telecommunications Equipment","US03823U1025","03823U102","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","ETC","7","false","NO","1","0","0","ETC","false","0","","false","","BDW0D09","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714158414","Industrial","FPLP_ELIGIBLE","C","false","9","","","","","",""
"8","ZVZZT","ZVZZT","EQS","ACTIVE","true","NASDAQ","ProducerManufacturing","Building Products","ZVZZT","","06/26/2021 12:00 AM","SLD_AND_EXB","None","[]","0","NONE","8","false","NO","1","0","0","VELC","true","0","batman test","false","","","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248632962","Industrial","FPLP_ELIGIBLE","G1","false","202","","","","","",""
"9","AAP","Advance Auto Parts Inc","EQS","ACTIVE","true","NYSE","RetailTrade","Specialty Stores","US00751Y1064","00751Y106","06/17/2021 10:22 AM","SLD_AND_EXB","None","[]","0","ETC","9","false","NO","1","0","0","ETC","false","0","","false","","2822019","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1620639037954","Industrial","FPLP_ELIGIBLE","NONE","false","155","","","","","",""
"10","AAPC","Atlantic Alliance Partnership Corp.","EQS","ACTIVE","true","NASDAQ","Finance","Financial Conglomerates","VGG048971078","G04897107","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","NONE","10","false","NO","1","0.0","0.0","VELC","true","0.0","UUsasfa","false","","BX7RST9","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248681181","Industrial","FPLP_ELIGIBLE","NONE","false","6","","","","","",""
"11","AAPL","Apple Inc","EQS","HALTED(CORP-ACT)","true","NASDAQ","ElectronicTechnology","Telecommunications Equipment","US0378331005","037833100","07/07/2021 6:24 AM","SLD_AND_EXB","RouteAll","[PAY-S-BON-6705965-1-35825-null]","0","ETC","11","false","NO","1","0","0","ETC","false","0","type updated to eqs","false","http://www.wikipedia.org/","2046251","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714202755","Industrial","FPLP_ELIGIBLE","NONE","false","618","","115.62","","","",""
"12","ZVZZA","American Assets Trust, Inc.","","ACTIVE","true","NYSE","Finance","Real Estate Investment Trusts","US0240131047","024013104","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","NONE","12","false","NO","1","0.0","0.0","VELC","true","0.0","test","false","","B3NTLD4","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248681276","OtherFinancial","FPLP_ELIGIBLE","NONE","false","3","","","","","",""
"13","AAV","Advantage Energy Ltd","","ACTIVE","true","NYSE","EnergyMinerals","Oil & Gas Production","CA00765F1018","00765F101","05/26/2021 4:31 AM","SLD_AND_EXB","None","[]","0","NONE","13","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","B66PKV1","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248681551","Industrial","FPLP_ELIGIBLE","G3","false","5","","","","","",""
"14","AAVL","Adverum Biotechnologies, Inc.","","HALTED(CORP-ACT)","true","NASDAQ","HealthTechnology","Biotechnology","US05337G1076","05337G107","07/07/2021 6:24 AM","SLD_AND_EXB","None","[PAY-N-CONSD-MA_20170608_1818_14-1-602655-264935, PAY-S-BON-MA_20170608_1818_14-1-602655-264935]","0","NONE","14","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","BP9F5J4","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248681687","Industrial","FPLP_ELIGIBLE","NONE","false","1192","","","","","",""
"15","AAWW","Atlas Air Worldwide Holdings Inc.","","ACTIVE","true","NASDAQ","Transportation","Air Freight/Couriers","US0491642056","049164205","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","ETC","15","false","NO","1","0.0","0.0","ETC","false","0.0","","false","","B01Z8P4","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714203200","Industrial","FPLP_ELIGIBLE","G2","false","16","","","","","",""
"16","AB","AllianceBernstein Holding Lp - Unit","","ACTIVE","true","NYSE","Finance","Investment Managers","US01881G1067","01881G106","06/03/2021 5:30 AM","SLD_AND_EXB","None","","0","NONE","16","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","2017558","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1622712637947","OtherFinancial","FPLP_ELIGIBLE","G2","false","31","","","","","",""
"17","BIQI","BIQI International Holding Corp","","ACTIVE","true","NASDAQ","ProcessIndustries","Agricultural Commodities/Milling","VGG1288E1034","G1288E103","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","NONE","17","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","BHL1CZ9","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248681967","Industrial","FPLP_ELIGIBLE","NONE","false","70","","","","","",""
"18","ABAX","Abaxis, Inc.","","ACTIVE","true","NASDAQ","HealthTechnology","Medical Specialties","US0025671050","002567105","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","NONE","18","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","2011550","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248682066","Industrial","FPLP_ELIGIBLE","C","false","13","","","","","",""
"19","ABBV","Abbvie Inc","ETN","ACTIVE","true","NYSE","HealthTechnology","Pharmaceuticals: Major","US00287Y1091","00287Y109","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","ETC","19","false","NO","1","0.0","0.0","ETC","false","0.0","Dividend file test","false","","B92SR70","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714203831","Industrial","FPLP_ELIGIBLE","NONE","false","44","","56.67","","","",""
"20","ABC","Amerisource Bergen Corp.","ETF","ACTIVE","true","NYSE","DistributionServices","Medical Distributors","US03073E1055","03073E105","05/14/2021 9:30 AM","SLD_AND_EXB","None","[]","0","ETC","0","false","NO","1","0","0","ETC","false","0","","false","","2795393","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714204774","Industrial","FPLP_ELIGIBLE","NONE","false","43","","","","","",""
"21","ABCB","Ameris Bancorp","","ACTIVE","true","NASDAQ","Finance","Regional Banks","US03076K1088","03076K108","07/01/2021 5:30 AM","SLD_AND_EXB","None","[]","0","NONE","1","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","2038849","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1625131849870","Bank","FPLP_ELIGIBLE","G1","false","42","","","","","",""
"22","ABCD","Cambium Learning Group, Inc.","","ACTIVE","true","NASDAQ","CommercialServices","Miscellaneous Commercial Services","US13201A1079","13201A107","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","NONE","2","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","B4XV3J7","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248682799","Industrial","FPLP_ELIGIBLE","C","false","6","","","","","",""
"23","ABCO","Advisory Board Company","","ACTIVE","true","NASDAQ","CommercialServices","Miscellaneous Commercial Services","US00762W1071","00762W107","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","NONE","3","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","2794657","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248682871","Industrial","FPLP_ELIGIBLE","NONE","false","126","","","","","",""
"24","ABCW","Anchor BanCorp Wisconsin Inc.","","ACTIVE","true","NASDAQ","Finance","Financial Conglomerates","US0328391026","032839102","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","NONE","4","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","2029467","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248682943","Bank","FPLP_ELIGIBLE","NONE","false","247","","","","","",""
"25","ABDC","Alcentra Capital Corp","","ACTIVE","true","NASDAQ","Finance","Investment Managers","US01374T1025","01374T102","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","NONE","5","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","BM7SDT0","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248683072","OtherFinancial","FPLP_ELIGIBLE","NONE","false","27","","","","","",""
"26","ABEO","Abeona Therapeutics Inc","EQS","ACTIVE","true","NASDAQ","HealthTechnology","Pharmaceuticals: Generic","US00289Y1073","00289Y107","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","NONE","6","false","NO","1","0","0","VELC","true","0","OPS","false","","BYNS0T7","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1614661404049","Industrial","FPLP_ELIGIBLE","G3","false","22","","","","","",""
"27","ABG","Asbury Automotive Group Inc","","ACTIVE","true","NYSE","RetailTrade","Specialty Stores","US0434361046","043436104","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","ETC","7","false","NO","1","0.0","0.0","ETC","false","0.0","","false","","2855855","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1607337036424","Industrial","FPLP_ELIGIBLE","G2","false","113","","","","","",""
"28","ABIO","ARCA biopharma Inc","","ACTIVE","true","NASDAQ","HealthTechnology","Biotechnology","US00211Y5069","00211Y506","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","NONE","8","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","BJLNCR1","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1613471436528","Industrial","FPLP_ELIGIBLE","C","false","12","","","","","",""
"29","ABM","ABM Industries Inc.","","ACTIVE","true","NYSE","CommercialServices","Miscellaneous Commercial Services","US0009571003","000957100","06/30/2021 10:40 AM","SLD_AND_EXB","None","[]","0","ETC","9","false","NO","1","0.0","0.0","ETC","false","0.0","","false","","2024901","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714206743","Industrial","FPLP_ELIGIBLE","C","false","38","","","","","",""
"30","ABMD","Abiomed Inc.","EQS","ACTIVE","true","NASDAQ","HealthTechnology","Medical Specialties","US0036541003","003654100","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","ETC","10","false","NO","1","0.0","0.0","ETC","false","0.0","112","false","","2003698","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714207798","Industrial","FPLP_ELIGIBLE","NONE","false","8","","","","","",""
"31","ABR","Arbor Realty Trust Inc.","","ACTIVE","true","NYSE","Finance","Real Estate Investment Trusts","US0389231087","038923108","05/20/2021 9:30 AM","SLD_AND_EXB","None","[]","0","ETC","11","false","NO","1","0.0","0.0","ETC","false","0.0","","false","","B00N2S0","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714207899","OtherFinancial","FPLP_ELIGIBLE","NONE","false","44","","","","","",""
"32","ABS","Albertson's Inc.","","ACTIVE","true","NYSE","RetailTrade","Food Retail","US0131041040","013104104","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","NONE","12","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","2012467","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248684074","Industrial","FPLP_ELIGIBLE","NONE","false","7","","","","","",""
"33","ABT","Abbott Laboratories","","ACTIVE","true","NYSE","HealthTechnology","Medical Specialties","US0028241000","002824100","05/04/2021 7:14 AM","SLD_AND_EXB","None","[]","0","ETC","13","false","NO","1","0.0","0.0","ETC","false","0.0","","false","","2002305","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1602714208072","Industrial","FPLP_ELIGIBLE","NONE","false","39","","44.96","","","",""
"34","ABTL","Autobytel Inc.","","ACTIVE","true","NASDAQ","ConsumerServices","Other Consumer Services","US05275N2053","05275N205","05/04/2021 7:14 AM","SLD_AND_EXB","None","","0","NONE","14","false","NO","1","0.0","0.0","VELC","true","0.0","","false","","B7W0VD6","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","1600248684284","Industrial","FPLP_ELIGIBLE","NONE","false","5","","","","","",""
"35","ABTX","Allegiance Bancshares Inc","","ACTIVE","true","NASDAQ","Finance","Regional Banks","US01748H1077","01748H107","05/27/2021 9:30 AM","SLD_AND_EXB","None","[]","0","ETC","15","false","NO","1","0.0","0.0","ETC","false","0.0","","false","","BYV3856","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1604917845875","Bank","FPLP_ELIGIBLE","G2","false","24","","","","","",""
